ZONE,Name,Species ID,Species (Binomial),IUCN Category,Type
1,New Zealand Sub-Antarctic Islands,2475,Balaenoptera borealis,EN,Marine Mammals
1,New Zealand Sub-Antarctic Islands,2477,Balaenoptera musculus,EN,Marine Mammals
1,New Zealand Sub-Antarctic Islands,2478,Balaenoptera physalus,VU,Marine Mammals
1,New Zealand Sub-Antarctic Islands,2480,Balaenoptera bonaerensis,NT,Marine Mammals
1,New Zealand Sub-Antarctic Islands,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,4292,Cetorhinus maximus,EN,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,11200,Lamna nasus,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,17026,Phocarctos hookeri,EN,Marine Mammals
1,New Zealand Sub-Antarctic Islands,18596,Pseudorca crassidens,NT,Marine Mammals
1,New Zealand Sub-Antarctic Islands,21858,Thunnus maccoyii,CR,Marine Fish
1,New Zealand Sub-Antarctic Islands,39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,39341,Isurus oxyrinchus,EN,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,39352,Galeorhinus galeus,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,39388,Sphyrna zygaena,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,41755,Physeter macrocephalus,VU,Marine Mammals
1,New Zealand Sub-Antarctic Islands,41840,Oxynotus bruniensis,NT,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,41876,Odontaspis ferox,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,46865,Scymnodon plunketi,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,170309,Kajikia audax,NT,Marine Fish
1,New Zealand Sub-Antarctic Islands,170341,Thunnus orientalis,VU,Marine Fish
1,New Zealand Sub-Antarctic Islands,91209505,Squalus acanthias,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,2477,Balaenoptera musculus,EN,Marine Mammals
2,The Sundarbans,3851,Carcharhinus limbatus,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,3854,Carcharias taurus,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,3897,Caretta caretta,VU,Reptiles
2,The Sundarbans,5667,Crocodylus palustris,VU,Reptiles
2,The Sundarbans,6494,Dermochelys coriacea,VU,Reptiles
2,The Sundarbans,8005,Eretmochelys imbricata,CR,Reptiles
2,The Sundarbans,9029,Geoclemys hamiltonii,EN,Reptiles
2,The Sundarbans,9281,Glyphis gangeticus,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,10949,Batagur kachuga,CR,Reptiles
2,The Sundarbans,10953,Batagur dhongoka,CR,Reptiles
2,The Sundarbans,11534,Lepidochelys olivacea,VU,Reptiles
2,The Sundarbans,12427,Lutrogale perspicillata,VU,Terrestrial Mammals
2,The Sundarbans,15419,Orcaella brevirostris,EN,Marine Mammals
2,The Sundarbans,18150,Prionailurus viverrinus,VU,Terrestrial Mammals
2,The Sundarbans,18596,Pseudorca crassidens,NT,Marine Mammals
2,The Sundarbans,19488,Rhincodon typus,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39341,Isurus oxyrinchus,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39368,Carcharhinus brevipinna,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39369,Carcharhinus hemiodon,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39370,Carcharhinus falciformis,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39374,Carcharhinus longimanus,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39375,Carcharhinus melanopterus,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39378,Galeocerdo cuvier,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39383,Scoliodon laticaudus,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39384,Triaenodon obesus,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39385,Sphyrna lewini,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39386,Sphyrna mokarran,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39389,Anoxypristis cuspidata,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39390,Pristis clavata,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39393,Pristis zijsron,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39412,Taeniura lymma,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39413,Urogymnus asperrimus,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39415,Aetobatus narinari,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,40797,Carcharhinus amblyrhynchoides,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41714,Tursiops aduncus,NT,Marine Mammals
2,The Sundarbans,41730,Atelomycterus marmoratus,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41737,Carcharhinus macloti,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41738,Carcharhinus sealei,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41755,Physeter macrocephalus,VU,Marine Mammals
2,The Sundarbans,41758,Platanista gangetica,EN,Marine Mammals
2,The Sundarbans,41791,Chiloscyllium indicum,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41792,Chiloscyllium griseum,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41810,Eusphyra blochii,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41832,Mobula eregoodootenkee,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41835,Nebrius ferrugineus,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41836,Negaprion acutidens,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41848,Rhina ancylostoma,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41853,Rhynchobatus australiae,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41854,Rhynchobatus laevis,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41872,Chiloscyllium punctatum,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41874,Hemipristis elongata,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,41878,Stegostoma tigrinum,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60113,Gymnura zonura,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60117,Gymnura poecilura,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60120,Aetomylaeus maculatus,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60160,Telatrygon zugei,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60162,Taeniurops meyeni,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60166,Glaucostegus granulatus,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60170,Glaucostegus obtusus,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60175,Glaucostegus thouin,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60199,Mobula tarapacana,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60200,Mobula thurstoni,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60222,Chiloscyllium plagiosum,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,60225,Isurus paucus,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,134832,Liotelphusa gagei,NT,Freshwater Crabs
2,The Sundarbans,161376,Carcharhinus sorrah,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,161547,Pateobatis uarnacoides,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,161566,Maculabatis gerrardi,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,161570,Lamiopsis temminckii,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,161597,Alopias pelagicus,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,161692,Himantura uarnak,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,161696,Alopias superciliosus,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,170309,Kajikia audax,NT,Marine Fish
2,The Sundarbans,170316,Scomberomorus commerson,NT,Marine Fish
2,The Sundarbans,180238,Stichopus herrmanni,VU,Sea Cucumbers
2,The Sundarbans,180257,Holothuria scabra,EN,Sea Cucumbers
2,The Sundarbans,180275,Holothuria lessoni,EN,Sea Cucumbers
2,The Sundarbans,180481,Thelenota ananas,EN,Sea Cucumbers
2,The Sundarbans,195320,Urogymnus polylepis,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,195459,Mobula alfredi,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,198920,Neophocaena phocaenoides,VU,Marine Mammals
2,The Sundarbans,198921,Mobula birostris,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,200715,Holothuria fuscogilva,VU,Sea Cucumbers
2,The Sundarbans,18584848,Pristis pristis,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,42566169,Aetobatus ocellatus,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,48342284,Omobranchus smithi,VU,Marine Fish
2,The Sundarbans,82031425,Sousa chinensis,VU,Marine Mammals
2,The Sundarbans,84784918,Aetomylaeus nichofii,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,97358453,Batagur baska,CR,Reptiles
2,The Sundarbans,104061138,Glaucostegus typus,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,110847130,Mobula mobular,EN,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,2475,Balaenoptera borealis,EN,Marine Mammals
3,Belize Barrier Reef Reserve System,2477,Balaenoptera musculus,EN,Marine Mammals
3,Belize Barrier Reef Reserve System,3851,Carcharhinus limbatus,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,3852,Carcharhinus obscurus,EN,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,3853,Carcharhinus plumbeus,VU,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,3897,Caretta caretta,VU,Reptiles
3,Belize Barrier Reef Reserve System,4292,Cetorhinus maximus,EN,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,4615,Chelonia mydas,EN,Reptiles
3,Belize Barrier Reef Reserve System,5659,Crocodylus acutus,VU,Reptiles
3,Belize Barrier Reef Reserve System,6494,Dermochelys coriacea,VU,Reptiles
3,Belize Barrier Reef Reserve System,7860,Hyporthodus nigritus,NT,Marine Fish
3,Belize Barrier Reef Reserve System,7861,Hyporthodus niveatus,VU,Marine Fish
3,Belize Barrier Reef Reserve System,7862,Epinephelus striatus,CR,Marine Fish
3,Belize Barrier Reef Reserve System,8005,Eretmochelys imbricata,CR,Reptiles
3,Belize Barrier Reef Reserve System,11130,Lachnolaimus maximus,VU,Marine Fish
3,Belize Barrier Reef Reserve System,12304,Lontra longicaudis,NT,Terrestrial Mammals
3,Belize Barrier Reef Reserve System,18175,Pristis pectinata,CR,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,18596,Pseudorca crassidens,NT,Marine Mammals
3,Belize Barrier Reef Reserve System,19488,Rhincodon typus,EN,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,19950,Scarus guacamaia,NT,Marine Fish
3,Belize Barrier Reef Reserve System,21471,Tapirus bairdii,EN,Terrestrial Mammals
3,Belize Barrier Reef Reserve System,22103,Trichechus manatus,VU,Marine Mammals
3,Belize Barrier Reef Reserve System,39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39341,Isurus oxyrinchus,EN,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39359,Mustelus canis,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39368,Carcharhinus brevipinna,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39370,Carcharhinus falciformis,VU,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39372,Carcharhinus leucas,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39374,Carcharhinus longimanus,CR,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39378,Galeocerdo cuvier,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39380,Negaprion brevirostris,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39385,Sphyrna lewini,CR,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39386,Sphyrna mokarran,CR,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,39415,Aetobatus narinari,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,41755,Physeter macrocephalus,VU,Marine Mammals
3,Belize Barrier Reef Reserve System,44681,Epinephelus morio,VU,Marine Fish
3,Belize Barrier Reef Reserve System,44683,Mycteroperca venenosa,NT,Marine Fish
3,Belize Barrier Reef Reserve System,60128,Rhinoptera bonasus,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,60153,Fontitrygon geijskesi,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,60199,Mobula tarapacana,EN,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,60200,Mobula thurstoni,EN,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,60217,Carcharhinus perezi,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,60225,Isurus paucus,EN,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,64400,Hyporthodus flavolimbatus,VU,Marine Fish
3,Belize Barrier Reef Reserve System,64410,Mycteroperca interstitialis,VU,Marine Fish
3,Belize Barrier Reef Reserve System,132724,Mycteroperca bonaci,NT,Marine Fish
3,Belize Barrier Reef Reserve System,161378,Carcharhinus acronotus,NT,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,161526,Carcharhinus albimarginatus,VU,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,161696,Alopias superciliosus,VU,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,170314,Makaira nigricans,VU,Marine Fish
3,Belize Barrier Reef Reserve System,170322,Kajikia albida,VU,Marine Fish
3,Belize Barrier Reef Reserve System,187435,Halichoeres socialis,EN,Marine Fish
3,Belize Barrier Reef Reserve System,194303,Albula vulpes,NT,Marine Fish
3,Belize Barrier Reef Reserve System,195409,Epinephelus itajara,VU,Marine Fish
3,Belize Barrier Reef Reserve System,198921,Mobula birostris,VU,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,18584848,Pristis pristis,CR,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,46104077,Lupinoblennius vinctus,NT,Marine Fish
3,Belize Barrier Reef Reserve System,47143176,Emblemariopsis pricei,VU,Marine Fish
3,Belize Barrier Reef Reserve System,110847130,Mobula mobular,EN,"Sharks, Rays, Chimaeras"
3,Belize Barrier Reef Reserve System,126710128,Mobula hypostoma,EN,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,2475,Balaenoptera borealis,EN,Marine Mammals
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,2477,Balaenoptera musculus,EN,Marine Mammals
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,2480,Balaenoptera bonaerensis,NT,Marine Mammals
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,3852,Carcharhinus obscurus,EN,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,3897,Caretta caretta,VU,Reptiles
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,4292,Cetorhinus maximus,EN,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,4615,Chelonia mydas,EN,Reptiles
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,6494,Dermochelys coriacea,VU,Reptiles
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,8005,Eretmochelys imbricata,CR,Reptiles
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,11534,Lepidochelys olivacea,VU,Reptiles
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,18175,Pristis pectinata,CR,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,18596,Pseudorca crassidens,NT,Marine Mammals
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,19488,Rhincodon typus,EN,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,21856,Thunnus alalunga,NT,Marine Fish
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,21857,Thunnus albacares,NT,Marine Fish
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,21859,Thunnus obesus,VU,Marine Fish
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,39341,Isurus oxyrinchus,EN,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,39368,Carcharhinus brevipinna,NT,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,39370,Carcharhinus falciformis,VU,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,39374,Carcharhinus longimanus,CR,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,39378,Galeocerdo cuvier,NT,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,39388,Sphyrna zygaena,VU,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,39415,Aetobatus narinari,NT,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,41755,Physeter macrocephalus,VU,Marine Mammals
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,41823,Heptranchias perlo,NT,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,41876,Odontaspis ferox,VU,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,44683,Mycteroperca venenosa,NT,Marine Fish
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,60199,Mobula tarapacana,EN,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,60200,Mobula thurstoni,EN,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,60217,Carcharhinus perezi,NT,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,60225,Isurus paucus,EN,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,64410,Mycteroperca interstitialis,VU,Marine Fish
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,132724,Mycteroperca bonaci,NT,Marine Fish
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,161696,Alopias superciliosus,VU,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,170314,Makaira nigricans,VU,Marine Fish
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,170322,Kajikia albida,VU,Marine Fish
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,198921,Mobula birostris,VU,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,18584848,Pristis pristis,CR,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,110847130,Mobula mobular,EN,"Sharks, Rays, Chimaeras"
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,126710128,Mobula hypostoma,EN,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,2475,Balaenoptera borealis,EN,Marine Mammals
5,Area de Conservaci—n Guanacaste,2477,Balaenoptera musculus,EN,Marine Mammals
5,Area de Conservaci—n Guanacaste,3851,Carcharhinus limbatus,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,3897,Caretta caretta,VU,Reptiles
5,Area de Conservaci—n Guanacaste,4615,Chelonia mydas,EN,Reptiles
5,Area de Conservaci—n Guanacaste,5659,Crocodylus acutus,VU,Reptiles
5,Area de Conservaci—n Guanacaste,6494,Dermochelys coriacea,VU,Reptiles
5,Area de Conservaci—n Guanacaste,8005,Eretmochelys imbricata,CR,Reptiles
5,Area de Conservaci—n Guanacaste,11534,Lepidochelys olivacea,VU,Reptiles
5,Area de Conservaci—n Guanacaste,12304,Lontra longicaudis,NT,Terrestrial Mammals
5,Area de Conservaci—n Guanacaste,18596,Pseudorca crassidens,NT,Marine Mammals
5,Area de Conservaci—n Guanacaste,19488,Rhincodon typus,EN,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,21857,Thunnus albacares,NT,Marine Fish
5,Area de Conservaci—n Guanacaste,21859,Thunnus obesus,VU,Marine Fish
5,Area de Conservaci—n Guanacaste,39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39341,Isurus oxyrinchus,EN,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39370,Carcharhinus falciformis,VU,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39372,Carcharhinus leucas,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39374,Carcharhinus longimanus,CR,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39378,Galeocerdo cuvier,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39380,Negaprion brevirostris,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39384,Triaenodon obesus,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39385,Sphyrna lewini,CR,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39386,Sphyrna mokarran,CR,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,39415,Aetobatus narinari,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,41755,Physeter macrocephalus,VU,Marine Mammals
5,Area de Conservaci—n Guanacaste,44591,Sphyrna corona,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,56901,Craugastor ranoides,CR,Amphibians
5,Area de Conservaci—n Guanacaste,60125,Myliobatis longirostris,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,60130,Rhinoptera steindachneri,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,60168,Pseudobatos leucorhynchus,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,60198,Mobula munkiana,VU,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,60199,Mobula tarapacana,EN,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,60200,Mobula thurstoni,EN,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,60225,Isurus paucus,EN,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,61403,Diplobatis ommata,VU,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,132730,Hyporthodus acanthistius,VU,Marine Fish
5,Area de Conservaci—n Guanacaste,154957,Hypsoblennius striatus,NT,Marine Fish
5,Area de Conservaci—n Guanacaste,161423,Narcine vermiculatus,NT,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,161597,Alopias pelagicus,EN,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,161696,Alopias superciliosus,VU,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,170309,Kajikia audax,NT,Marine Fish
5,Area de Conservaci—n Guanacaste,170314,Makaira nigricans,VU,Marine Fish
5,Area de Conservaci—n Guanacaste,180373,Isostichopus fuscus,EN,Sea Cucumbers
5,Area de Conservaci—n Guanacaste,183694,Platygillellus bussingi,NT,Marine Fish
5,Area de Conservaci—n Guanacaste,183705,Platygillellus altivelis,NT,Marine Fish
5,Area de Conservaci—n Guanacaste,198281,Macrobrachium occidentale,NT,Freshwater Shrimp
5,Area de Conservaci—n Guanacaste,198921,Mobula birostris,VU,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,18584848,Pristis pristis,CR,"Sharks, Rays, Chimaeras"
5,Area de Conservaci—n Guanacaste,110847130,Mobula mobular,EN,"Sharks, Rays, Chimaeras"
6,Cocos Island National Park,2475,Balaenoptera borealis,EN,Marine Mammals
6,Cocos Island National Park,2477,Balaenoptera musculus,EN,Marine Mammals
6,Cocos Island National Park,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras"
6,Cocos Island National Park,3897,Caretta caretta,VU,Reptiles
6,Cocos Island National Park,4292,Cetorhinus maximus,EN,"Sharks, Rays, Chimaeras"
6,Cocos Island National Park,4615,Chelonia mydas,EN,Reptiles
6,Cocos Island National Park,6494,Dermochelys coriacea,VU,Reptiles
6,Cocos Island National Park,8005,Eretmochelys imbricata,CR,Reptiles
6,Cocos Island National Park,11534,Lepidochelys olivacea,VU,Reptiles
6,Cocos Island National Park,14051,Mycteroperca olfax,VU,Marine Fish
6,Cocos Island National Park,18596,Pseudorca crassidens,NT,Marine Mammals
