TENT_ID,Name,Marine Ecoregion,Area (km2),Rarity,Not Found in Existing mnWHA Sites
250,Farasan Islands Protected Area,Southern Red Sea,4565.57406,Middle 20-80%,TRUE
255,Silhouette Island,Seychelles,11.97929123,Middle 20-80%,FALSE
261,Marovo - Tetepare Complex,Solomon Archipelago,11.80609492,Middle 20-80%,FALSE
278,Kızılırmak Delta Wetland and Bird Sanctuary,Black Sea,35.90500982,Middle 20-80%,FALSE
290,Marianas Trench Marine National Monument,Mariana Islands,599.9974532,Rarest 20%,TRUE
292,Pacific Remote Islands Marine National Monument,Line Islands,2039.541232,Rarest 20%,TRUE
292,Pacific Remote Islands Marine National Monument,Phoenix/Tokelau/Northern Cook Islands,230.3429615,Rarest 20%,FALSE
292,Pacific Remote Islands Marine National Monument,Hawaii,267.9683779,Middle 20-80%,FALSE
292,Pacific Remote Islands Marine National Monument,Marshall Islands,198.2580266,Middle 20-80%,TRUE
300,Ha Long Bay - Cat Ba Archipelago,Gulf of Tonkin,383.4311345,Common 20%,FALSE
